File_mb	2710.39	PEPPRO
Read_type	paired	PEPPRO
Genome	hg38	PEPPRO
Raw_reads	111300168	PEPPRO
Fastq_reads	111300168	PEPPRO
Trimmed_reads	29119715	PEPPRO
Trim_loss_rate	73.84	PEPPRO
Reads_with_adapter	43631018.0	PEPPRO
Reads_too_short	25201427.0	PEPPRO
Duplicate_reads	2891628.0	PEPPRO
Pct_reads_too_short	45.2855	PEPPRO
Trimmed_reads	31193330	PEPPRO
Trim_loss_rate	71.97	PEPPRO
Peak_adapter_insertion_size	20	PEPPRO
Degradation_ratio	1.158	PEPPRO
Aligned_reads_human_rDNA	6099206.0	PEPPRO
Alignment_rate_human_rDNA	19.55	PEPPRO
Mapped_reads	44081295	PEPPRO
QC_filtered_reads	26072183	PEPPRO
Aligned_reads	18009111.5	PEPPRO
Alignment_rate	57.73	PEPPRO
Total_efficiency	16.18	PEPPRO
Read_depth	3.41	PEPPRO
Mitochondrial_reads	655778	PEPPRO
Maximum_read_length	38	PEPPRO
Genome_size	3099922541	PEPPRO
Frac_exp_unique_at_10M	0.8097	PEPPRO
NRF	1.0	PEPPRO
PBC1	9869335.0	PEPPRO
PBC2	9869335.0	PEPPRO
Unmapped_reads	7715519	PEPPRO
TSS_Plus_Score	53.0	PEPPRO
TSS_Minus_Score	17.1	PEPPRO
Pause_index	75.18	PEPPRO
Plus_FRiP	0.4	PEPPRO
Minus_FRiP	0.38	PEPPRO
mRNA_contamination	1.19	PEPPRO
Time	3:21:40	PEPPRO
Success	02-18-14:30:38	PEPPRO
